feature_id,feature,sample_action,expected_result,classification,product_version
DECISION-STUDIO-001,Decision Packet,create DS-RETROFIT-001 for a community-center retrofit choice,a versioned packet containing all decision artifacts,synthetic-demo,2.0.0
DECISION-STUDIO-002,Problem Framing,"define the decision, scope, objectives, constraints, stakeholders, and deadline",a bounded decision statement,synthetic-demo,2.0.0
DECISION-STUDIO-003,Evidence Ledger,add utility bills and an engineering assessment with relevance and confidence,traceable evidence records,synthetic-demo,2.0.0
DECISION-STUDIO-004,Scenario Studio,"compare no action, controls-only, and whole-building retrofit",a scenario table with aligned measures,synthetic-demo,2.0.0
DECISION-STUDIO-005,Impact Records,"record cost, emissions, comfort, disruption, and equity effects",structured impact entries,synthetic-demo,2.0.0
DECISION-STUDIO-006,Claim Review,review the claim that the project pays back in five years,"a supported, contested, or unresolved claim state",synthetic-demo,2.0.0
DECISION-STUDIO-007,Finance Tradeoffs,"compare capital, operating, lifecycle, and uncertainty considerations",a transparent tradeoff record,synthetic-demo,2.0.0
DECISION-STUDIO-008,Risk and Recovery,"record contractor delay, budget overrun, rollback, and recovery",a risk register with owners and mitigations,synthetic-demo,2.0.0
DECISION-STUDIO-009,Assumption Register,record 3% annual tariff growth with source and confidence,a versioned assumption,synthetic-demo,2.0.0
DECISION-STUDIO-010,Workbench Handoffs,request lifecycle-cost and emissions calculations,a returned calculation artifact and receipt,synthetic-demo,2.0.0
DECISION-STUDIO-011,Readiness Review,"check evidence, privacy, unresolved issues, and approval requirements",an advisory readiness report,synthetic-demo,2.0.0
DECISION-STUDIO-012,Briefing Studio,assemble a board briefing from reviewed packet sections,an executive brief,synthetic-demo,2.0.0
DECISION-STUDIO-013,Publication Studio,prepare a redacted public decision summary,a controlled publication artifact,synthetic-demo,2.0.0
DECISION-STUDIO-014,Outcomes Monitoring,track six months of post-retrofit energy and comfort data,outcome records and variance explanations,synthetic-demo,2.0.0
DECISION-STUDIO-015,Reassessment,reopen the decision after grant or outcome changes,a new review cycle preserving history,synthetic-demo,2.0.0
DECISION-STUDIO-016,API and Embeds,expose an approved public packet summary,a scoped privacy-aware JSON or embed,synthetic-demo,2.0.0
